rule,width,beta2,seed,layer,h0,final_loss,mean_h_final,ratio_final,t_depart,late_rel_std,cv_h_final,t_1e-02,t_1e-03,t_1e-04,t_1e-06
A,32,0.99,0,W1,0.004,2.209207923442591e-05,0.8636184334754944,1.1757160058461691e+35,100,1.3279359632733134,1.2157890796661377,2161,2787,3308,4654
A,32,0.99,0,W2,0.004,2.209207923442591e-05,0.03441147133708,4.684721407914419e+33,100,0.7809276372196116,19.93876838684082,2161,2787,3308,4654
A,32,0.99,0,W3,0.004,2.209207923442591e-05,0.0005583529127761722,7.60132520353855e+31,200,0.8573261527531363,9.640480041503906,2161,2787,3308,4654
A,32,0.99,0,W4,0.004,2.209207923442591e-05,7.519822247559205e-05,1.023736297752883e+31,100,2.426203077150828,5.269672870635986,2161,2787,3308,4654
A,32,0.99,0,W5,0.004,2.209207923442591e-05,0.14534147083759308,1.9786550049574783e+34,100,1.3518534509086997,1.559599757194519,2161,2787,3308,4654
A,32,0.99,1,W1,0.004,7.4470544859650545e-06,0.8464774489402771,1.1523805499401224e+35,100,0.7967117022257605,1.5390790700912476,1621,2104,2567,2871
A,32,0.99,1,W2,0.004,7.4470544859650545e-06,0.006375357508659363,8.67930740634783e+32,100,0.7512284064478123,7.791572570800781,1621,2104,2567,2871
A,32,0.99,1,W3,0.004,7.4470544859650545e-06,0.0003422568552196026,4.65942883100445e+31,100,0.41921868900805154,5.798740386962891,1621,2104,2567,2871
A,32,0.99,1,W4,0.004,7.4470544859650545e-06,0.00017419899813830853,2.3715166603074585e+31,100,0.6244117545170698,8.416170120239258,1621,2104,2567,2871
A,32,0.99,1,W5,0.004,7.4470544859650545e-06,0.22187358140945435,3.0205506370182237e+34,100,1.0567800724419651,1.9423973560333252,1621,2104,2567,2871
A,32,0.99,2,W1,0.004,1.1204975862710853e-06,4.741578102111816,6.45510685221004e+35,100,0.9140785620666201,2.520317316055298,1760,2360,2696,3787
A,32,0.99,2,W2,0.004,1.1204975862710853e-06,0.044915471225976944,6.114718767406045e+33,100,0.7760929912362468,12.235261917114258,1760,2360,2696,3787
A,32,0.99,2,W3,0.004,1.1204975862710853e-06,0.003411234589293599,4.643998959341772e+32,100,1.3032063208266198,5.913394451141357,1760,2360,2696,3787
A,32,0.99,2,W4,0.004,1.1204975862710853e-06,0.005194938275963068,7.072303975556577e+32,100,1.3605036416392966,9.548605918884277,1760,2360,2696,3787
A,32,0.99,2,W5,0.004,1.1204975862710853e-06,8.490764617919922,1.155918803514521e+36,100,1.199399973810127,2.7915971279144287,1760,2360,2696,3787
A,64,0.99,0,W1,0.004,2.6860859932436873e-20,32.37397384643555,4.4073398330467185e+36,100,1.2346161172306385,3.0118465423583984,931,1334,1634,1954
A,64,0.99,0,W2,0.004,2.6860859932436873e-20,0.07679428905248642,1.0454648870014827e+34,100,1.085317144701957,12.283296585083008,931,1334,1634,1954
A,64,0.99,0,W3,0.004,2.6860859932436873e-20,0.0023485091514885426,3.1972219353509608e+32,100,1.178255352034576,7.9546051025390625,931,1334,1634,1954
A,64,0.99,0,W4,0.004,2.6860859932436873e-20,0.0008492449996992946,1.1561482482641078e+32,100,1.4850188110911449,7.913710117340088,931,1334,1634,1954
A,64,0.99,0,W5,0.004,2.6860859932436873e-20,14.013345718383789,1.907753959147887e+36,100,2.279749056579886,1.9500322341918945,931,1334,1634,1954
A,64,0.99,1,W1,0.004,3.2069844047469168e-19,10.80887222290039,1.4715021802473665e+36,100,1.0267900542230257,2.2511746883392334,652,947,1170,1517
A,64,0.99,1,W2,0.004,3.2069844047469168e-19,0.10812477022409439,1.4719929317547882e+34,100,1.143752571719713,23.37274742126465,652,947,1170,1517
A,64,0.99,1,W3,0.004,3.2069844047469168e-19,0.0035628103651106358,4.8503517406383254e+32,100,1.2815811556487313,7.928055763244629,652,947,1170,1517
A,64,0.99,1,W4,0.004,3.2069844047469168e-19,0.0034316610544919968,4.671807214869585e+32,200,1.3070323088227322,9.672356605529785,652,947,1170,1517
A,64,0.99,1,W5,0.004,3.2069844047469168e-19,36.37578201293945,4.952139449556764e+36,100,1.5268138847003203,2.0763566493988037,652,947,1170,1517
A,64,0.99,2,W1,0.004,2.4900895012397103e-14,3.290349245071411,4.4794276294984715e+35,100,1.0725172156765266,3.4304728507995605,936,1183,1545,1788
A,64,0.99,2,W2,0.004,2.4900895012397103e-14,0.03889496624469757,5.295097069281696e+33,100,1.1465204246127496,32.98271179199219,936,1183,1545,1788
A,64,0.99,2,W3,0.004,2.4900895012397103e-14,0.0013456940650939941,1.8320058835892136e+32,100,1.1152104377874283,10.103285789489746,936,1183,1545,1788
A,64,0.99,2,W4,0.004,2.4900895012397103e-14,0.0007305375183932483,9.945418253632656e+31,200,1.157823787683585,10.04513931274414,936,1183,1545,1788
A,64,0.99,2,W5,0.004,2.4900895012397103e-14,5.9224419593811035,8.062715587620551e+35,100,1.1874969085549734,1.5761605501174927,936,1183,1545,1788
A,128,0.99,0,W1,0.004,2.7562355294768333e-38,20.513702392578125,2.7927018816699824e+36,100,2.2987257394929874,3.0063109397888184,492,661,684,942
A,128,0.99,0,W2,0.004,2.7562355294768333e-38,0.06332718580961227,8.621259467786503e+33,100,1.8747726660296815,50.898529052734375,492,661,684,942
A,128,0.99,0,W3,0.004,2.7562355294768333e-38,0.001258418313227594,1.7131901028993065e+32,200,1.7656829319089882,17.562471389770508,492,661,684,942
A,128,0.99,0,W4,0.004,2.7562355294768333e-38,0.001047171768732369,1.4256025133857039e+32,200,1.8587974724370941,15.037814140319824,492,661,684,942
A,128,0.99,0,W5,0.004,2.7562355294768333e-38,32.105552673339844,4.370797413699949e+36,100,1.4673439412933595,3.1588950157165527,492,661,684,942
A,128,0.99,1,W1,0.004,1.045071999501416e-38,19.61992645263672,2.6710246874951855e+36,100,0.9343504397616463,2.956425428390503,479,598,809,953
A,128,0.99,1,W2,0.004,1.045071999501416e-38,0.03813841938972473,5.1921020182167765e+33,100,0.9000227230195839,19.064374923706055,479,598,809,953
A,128,0.99,1,W3,0.004,1.045071999501416e-38,0.000736332789529115,1.00243141267237e+32,200,0.9145063947214682,12.401200294494629,479,598,809,953
A,128,0.99,1,W4,0.004,1.045071999501416e-38,0.0012062974274158478,1.6422335816945177e+32,200,0.8615665046350683,15.282840728759766,479,598,809,953
A,128,0.99,1,W5,0.004,1.045071999501416e-38,64.32403564453125,8.756968973386421e+36,100,1.1212268669120868,3.6464977264404297,479,598,809,953
