rule,width,sampling,whiten,seed,h0_mid,final_loss,wall,disp_first,disp_mean,disp_max,t_1e-02,t_1e-03,t_1e-04,t_1e-06
A,128,True,False,0,0.004,0.03814559057354927,42.220219135284424,0.0,0.07636847377680782,0.2547869539451032,315,535,1487,3531
A,128,True,False,2,0.004,4.8319026731136194e-12,44.0363335609436,0.0,0.06689793890713128,0.2263907755986111,336,680,2222,3654
A,128,True,True,0,0.004,0.2893666625022888,103.16133332252502,0.0,0.015991577517251516,0.017095110013459952,,,,
A,128,True,True,2,0.004,0.4138161540031433,103.89371371269226,0.0,0.016031961058469227,0.017010276489840055,,,,
A,128,False,False,0,0.004,1.7234979168279096e-05,25.883402347564697,0.0,0.037987526782886596,0.06639318819001203,139,438,1791,
A,128,False,False,2,0.004,1.7637212295085192e-05,26.101630926132202,0.0,0.037963068568334785,0.06644596585186634,140,447,1871,
A,128,False,True,0,0.004,1.1719701433321461e-05,85.61118745803833,0.0,0.006548308209250029,0.006710174150886136,1766,2198,2661,
A,128,False,True,2,0.004,1.2281597264518496e-05,88.07135558128357,0.0,0.00659130591554957,0.006818856062896561,1760,2233,2727,
A,512,True,False,0,0.004,0.0,345.7229435443878,0.0,5.158142020622003,28.521281509382284,30,30,30,30
A,512,True,False,2,0.004,0.0,338.8751561641693,0.0,2.5999409197872536,19.45677894141588,59,99,104,116
A,512,True,True,0,0.004,0.7284359931945801,353.14170956611633,0.0,0.02664979303299374,0.030102253152344112,,,,
A,512,True,True,2,0.004,0.9426289200782776,340.14251232147217,0.0,0.025004713457462694,0.029209642262987258,,,,
A,512,False,False,0,0.004,1.2832781067118049e-05,201.33946204185486,0.0,0.039192319153331996,0.08022742957447569,99,324,1432,
A,512,False,False,2,0.004,1.3469538316712715e-05,169.60065269470215,0.0,0.03888289710261749,0.08296711270471874,100,350,1526,
A,512,False,True,0,0.004,7.689684025535826e-06,289.21405005455017,0.0,0.006963953024731502,0.0071428697028022735,1384,1748,2147,
A,512,False,True,2,0.004,7.718309461779427e-06,298.65208625793457,0.0,0.0069110399411062085,0.007108725701253947,1341,1711,2110,
C,128,True,False,0,0.003987740551782988,4.1066126483264856e-30,47.81050896644592,0.0,0.539447549011995,1.787107958970285,414,637,1102,2745
C,128,True,False,2,0.004,7.361327763548669e-16,45.57554030418396,0.0,1.6573659777224736,3.8623796625463123,294,451,715,1388
C,128,True,True,0,0.003987740551782988,0.4445551633834839,85.55937790870667,0.0,0.016876648422107107,0.01778552463095856,,,,
C,128,True,True,2,0.004,0.28329113125801086,93.1145670413971,0.0,0.01691983810308317,0.017725813421690318,,,,
C,128,False,False,0,0.003987740551782988,2.5970850401790813e-05,25.7039213180542,0.0,0.14143210132857675,0.24919034277417124,120,347,1685,
C,128,False,False,2,0.004,2.5138884666375816e-05,29.254411697387695,0.0,0.1353474468937068,0.23497757774582556,120,346,1669,
C,128,False,True,0,0.003987740551782988,1.1638016076176427e-05,63.255186319351196,0.0,0.006547293398392683,0.0067065323556716174,1767,2213,2690,
C,128,False,True,2,0.004,1.2183591024950147e-05,90.40526628494263,0.0,0.006592961491664797,0.006822178798304618,1757,2240,2741,
C,512,True,False,0,0.015982062717344012,3.356549314048607e-06,433.70947551727295,0.0,0.46259588279479774,1.8805440586115263,817,1269,2167,2654
C,512,True,False,2,0.016009188782920118,0.0,402.7916672229767,0.0,0.4471528949784364,1.5880322432156084,843,1208,1840,2615
C,512,True,True,0,0.015982062717344012,0.8975075483322144,280.4279320240021,0.0,0.022304745427416575,0.025353895800341537,,,,
C,512,True,True,2,0.016009188782920118,0.359101265668869,334.39750695228577,0.0,0.022299258681995254,0.02565802292759619,,,,
C,512,False,False,0,0.015982062717344012,7.378435111604631e-05,186.21200799942017,0.0,0.12264705603323071,0.17623811378651785,285,927,4744,
C,512,False,False,2,0.016009188782920118,7.287416519830003e-05,196.73982310295105,0.0,0.12147127406343676,0.17312226651677629,275,924,4721,
C,512,False,True,0,0.015982062717344012,7.557855951745296e-06,237.3997187614441,0.0,0.006930389389375909,0.007122790559975444,1373,1717,2089,
C,512,False,True,2,0.016009188782920118,7.605666269228095e-06,234.78710079193115,0.0,0.006888797033159584,0.007079786619047423,1377,1729,2103,
